,index,name,injury_10,injury_11,injury_12,injury_13,injury_14,injury_15,injury_16,injury_17,injury_18,height,weight,year_start,year_end,position,birth_date,played_10,played_11,played_12,played_13,played_14,played_15,played_16,played_17,played_18,G_position,F_position,C_position,years_played_before_2010,year_of_birth,age_at_2010,total_injuries,total_years_played,total_number_injuries
952,976,Jam White,0,0,0,0,0,0,0,0,0,206.0,131.0,2007,2013,G-F,21-Oct-82,1,1,1,1,0,0,0,0,0,0,0,0,3,1982,28,0,4,0
953,977,Oka White,0,0,0,0,0,0,0,0,0,203.0,92.0,2017,2018,F,13-Aug-92,0,0,0,0,0,0,0,1,1,0,1,0,0,1992,18,0,2,0
954,978,Roy White,0,0,0,0,0,0,0,0,0,203.0,95.0,2014,2014,F,10-Apr-91,0,0,0,0,1,0,0,0,0,0,1,0,0,1991,19,0,1,0
955,979,Isa Whitehead,0,0,0,0,0,0,0,0,0,193.0,96.0,2017,2018,G,8-Mar-95,0,0,0,0,0,0,0,1,1,1,0,0,0,1995,15,0,2,0
956,980,Sha Whittington,0,0,0,0,0,0,0,0,0,211.0,113.0,2015,2016,F-C,27-Mar-91,0,0,0,0,0,1,1,0,0,0,0,0,0,1991,19,0,2,0
957,981,Chr Wilcox,0,0,0,0,0,0,0,0,0,208.0,100.0,2003,2013,F,3-Sep-82,1,1,1,1,0,0,0,0,0,0,1,0,7,1982,28,0,4,0
958,982,Dam Wilkins,0,0,0,0,0,0,0,0,0,208.0,99.0,2005,2018,F-G,11-Jan-80,1,1,1,1,1,1,1,1,1,0,0,0,5,1980,30,0,9,0
959,983,Mik Wilks,0,0,0,0,0,0,0,0,0,178.0,83.0,2003,2010,G,7-May-79,1,0,0,0,0,0,0,0,0,1,0,0,7,1979,31,0,1,0
960,984,Jas Williams,0,0,0,0,0,0,0,0,0,206.0,108.0,1999,2011,G,18-Nov-75,1,1,0,0,0,0,0,0,0,1,0,0,11,1975,35,0,2,0
961,985,Jaw Williams,0,0,0,0,0,0,0,0,0,206.0,108.0,2009,2011,F,19-Feb-83,1,1,0,0,0,0,0,0,0,0,1,0,1,1983,27,0,2,0
962,986,Jor Williams,0,0,0,0,0,0,0,0,0,188.0,83.0,2012,2012,F,11-Oct-90,0,0,1,0,0,0,0,0,0,0,1,0,0,1990,20,0,1,0
963,987,Sea Williams,0,0,0,0,0,0,0,0,0,208.0,106.0,2008,2012,C-F,13-Sep-86,1,1,1,0,0,0,0,0,0,0,0,0,2,1986,24,0,3,0
964,989,Ter Williams,0,0,0,0,0,0,0,0,0,198.0,99.0,2010,2013,F,28-Jun-87,1,1,1,1,0,0,0,0,0,0,1,0,0,1987,23,0,4,0
965,990,Kyl Wiltjer,0,0,0,0,0,0,0,0,0,208.0,108.0,2017,2017,F,20-Oct-92,0,0,0,0,0,0,0,1,0,0,1,0,0,1992,18,0,1,0
966,991,Jef Withey,0,0,0,0,0,0,0,0,0,213.0,104.0,2014,2018,C,7-Mar-90,0,0,0,0,1,1,1,1,1,0,0,1,0,1990,20,0,5,0
967,992,Nat Wolters,0,0,0,0,0,0,0,0,0,193.0,86.0,2014,2018,G,15-May-91,0,0,0,0,1,1,1,1,1,1,0,0,0,1991,19,0,5,0
968,993,Chr Wood,0,0,0,0,0,0,0,0,0,211.0,99.0,2016,2017,F,27-Sep-95,0,0,0,0,0,0,1,1,0,0,1,0,0,1995,15,0,2,0
969,994,Met World,0,0,0,0,0,0,0,0,0,190.0,81.0,2000,2017,F,13-Nov-79,1,1,1,1,1,1,1,1,0,0,1,0,10,1979,31,0,8,0
970,995,Ant Wright,0,0,0,0,0,0,0,0,0,201.0,95.0,2006,2011,G-F,6-Feb-84,1,1,0,0,0,0,0,0,0,0,0,0,4,1984,26,0,2,0
971,996,Chr Wright,0,0,0,0,0,0,0,0,0,203.0,102.0,2012,2014,F,30-Sep-88,0,0,1,1,1,0,0,0,0,0,1,0,0,1988,22,0,3,0
972,997,Chr Wright,0,0,0,0,0,0,0,0,0,203.0,102.0,2012,2014,F,30-Sep-88,0,0,1,1,1,0,0,0,0,0,1,0,0,1988,22,0,3,0
973,998,Del Wright,0,0,0,0,0,0,0,0,0,196.0,83.0,2016,2018,G,26-Apr-92,0,0,0,0,0,0,1,1,1,1,0,0,0,1992,18,0,3,0
974,999,Jul Wright,0,0,0,0,0,0,0,0,0,203.0,102.0,2008,2011,F,20-May-87,1,1,0,0,0,0,0,0,0,0,1,0,2,1987,23,0,2,0
975,1000,Jam Young,0,0,0,0,0,0,0,0,0,198.0,97.0,2015,2017,G-F,16-Aug-95,0,0,0,0,0,1,1,1,0,0,0,0,0,1995,15,0,3,0
976,1001,Sam Young,0,0,0,0,0,0,0,0,0,198.0,99.0,2010,2013,F,1-Jun-85,1,1,1,1,0,0,0,0,0,0,1,0,0,1985,25,0,4,0
977,1002,Luk Zeller,0,0,0,0,0,0,0,0,0,211.0,111.0,2013,2013,C,7-Apr-87,0,0,0,1,0,0,0,0,0,0,0,1,0,1987,23,0,1,0
978,1003,Tyl Zeller,0,0,0,0,0,0,0,0,0,213.0,114.0,2013,2018,F-C,17-Jan-90,0,0,0,1,1,1,1,1,1,0,0,0,0,1990,20,0,6,0
979,1004,Ste Zimmerman,0,0,0,0,0,0,0,0,0,213.0,108.0,2017,2017,C,9-Sep-96,0,0,0,0,0,0,0,1,0,0,0,1,0,1996,14,0,1,0
980,1005,Ivi Zubac,0,0,0,0,0,0,0,0,0,216.0,120.0,2017,2018,C,18-Mar-97,0,0,0,0,0,0,0,1,1,0,0,1,0,1997,13,0,2,0
